0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:40 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:40 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:40 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:40 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:40 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:41 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:41 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:41 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:41 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:42 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:42 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:42 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:18:47 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:19:41 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:19:49 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:21:01 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:24:34 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:24:51 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:25:06 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:27:03 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:28:27 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:29:04 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:30:47 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:31:03 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:31:04 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:31:04 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:31:05 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:31:05 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:31:05 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:32:06 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:33:11 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1705
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:33:48 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:34:38 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:35:33 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:36:20 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:36:48 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:01 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:01 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 200 620888
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:01 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:01 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:21 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:21 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:28 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:28 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:50 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:50 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:50 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:50 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:50 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:38:51 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:40:03 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:40:03 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 200 620888
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:40:25 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:40:25 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:40:25 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:40:25 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:40:25 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:40:25 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:40:25 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:40:25 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:41:53 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:41:53 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:41:57 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:41:57 +0900] "GET /HTML/ch02/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2014:11:41:57 +0900] "GET /HTML/ch04/01.html HTTP/1.1" 304 -
